Tue Dec 13 14:10:19 2022 Epoch 27, lr: 0.0000962, val loss: 115.17409, acc: 60.47000
Tue Dec 13 14:10:31 2022 Epoch 32, lr: 0.0000946, val loss: 83.45014, acc: 71.51000
Tue Dec 13 14:10:40 2022 Epoch 28, lr: 0.0000959, val loss: 113.58098, acc: 60.81000
Tue Dec 13 14:10:51 2022 Epoch 33, lr: 0.0000942, val loss: 80.26598, acc: 72.44000
Tue Dec 13 14:11:02 2022 Epoch 29, lr: 0.0000956, val loss: 112.92480, acc: 61.07000
Tue Dec 13 14:11:09 2022 Epoch 34, lr: 0.0000938, val loss: 79.72907, acc: 72.25000
Tue Dec 13 14:11:25 2022 Epoch 30, lr: 0.0000952, val loss: 112.23465, acc: 61.08000
Tue Dec 13 14:11:29 2022 Epoch 35, lr: 0.0000934, val loss: 80.99930, acc: 71.95000
Tue Dec 13 14:11:46 2022 Epoch 31, lr: 0.0000949, val loss: 110.99005, acc: 61.63000
Tue Dec 13 14:11:48 2022 Epoch 36, lr: 0.0000930, val loss: 78.28265, acc: 72.49000
Tue Dec 13 14:12:07 2022 Epoch 37, lr: 0.0000926, val loss: 79.75010, acc: 72.41000
Tue Dec 13 14:12:08 2022 Epoch 32, lr: 0.0000946, val loss: 111.03490, acc: 61.71000
Tue Dec 13 14:12:27 2022 Epoch 38, lr: 0.0000922, val loss: 78.82478, acc: 72.84000
Tue Dec 13 14:12:29 2022 Epoch 33, lr: 0.0000942, val loss: 109.11623, acc: 62.12000
Tue Dec 13 14:12:46 2022 Epoch 39, lr: 0.0000918, val loss: 76.13836, acc: 73.85000
Tue Dec 13 14:12:51 2022 Epoch 34, lr: 0.0000938, val loss: 108.14162, acc: 62.46000
Tue Dec 13 14:13:06 2022 Epoch 40, lr: 0.0000914, val loss: 77.24572, acc: 73.97000
Tue Dec 13 14:13:12 2022 Epoch 35, lr: 0.0000934, val loss: 105.98172, acc: 62.89000
Tue Dec 13 14:13:24 2022 Epoch 41, lr: 0.0000909, val loss: 76.82167, acc: 73.91000
Tue Dec 13 14:13:34 2022 Epoch 36, lr: 0.0000930, val loss: 106.22452, acc: 62.74000
Tue Dec 13 14:13:43 2022 Epoch 42, lr: 0.0000905, val loss: 74.25375, acc: 74.21000
Tue Dec 13 14:13:56 2022 Epoch 37, lr: 0.0000926, val loss: 108.89968, acc: 62.54000
Tue Dec 13 14:14:02 2022 Epoch 43, lr: 0.0000900, val loss: 75.04252, acc: 74.07000
Tue Dec 13 14:14:18 2022 Epoch 38, lr: 0.0000922, val loss: 106.88038, acc: 62.97000
Tue Dec 13 14:14:21 2022 Epoch 44, lr: 0.0000895, val loss: 77.41266, acc: 73.69000
Tue Dec 13 14:14:39 2022 Epoch 39, lr: 0.0000918, val loss: 106.24700, acc: 63.43000
Tue Dec 13 14:14:40 2022 Epoch 45, lr: 0.0000890, val loss: 74.35148, acc: 74.80000
Tue Dec 13 14:14:59 2022 Epoch 46, lr: 0.0000885, val loss: 74.73040, acc: 74.84000
Tue Dec 13 14:15:01 2022 Epoch 40, lr: 0.0000914, val loss: 103.26986, acc: 63.99000
Tue Dec 13 14:15:17 2022 Epoch 47, lr: 0.0000880, val loss: 73.44513, acc: 74.81000
Tue Dec 13 14:15:23 2022 Epoch 41, lr: 0.0000909, val loss: 103.10669, acc: 64.30000
Tue Dec 13 14:15:36 2022 Epoch 48, lr: 0.0000875, val loss: 74.05201, acc: 74.70000
Tue Dec 13 14:15:44 2022 Epoch 42, lr: 0.0000905, val loss: 102.71742, acc: 64.28000
Tue Dec 13 14:15:55 2022 Epoch 49, lr: 0.0000870, val loss: 74.48258, acc: 75.07000
Tue Dec 13 14:16:06 2022 Epoch 43, lr: 0.0000900, val loss: 100.82369, acc: 65.26000
Tue Dec 13 14:16:13 2022 Epoch 50, lr: 0.0000864, val loss: 76.13184, acc: 74.43000
Tue Dec 13 14:16:28 2022 Epoch 44, lr: 0.0000895, val loss: 102.77631, acc: 64.61000
Tue Dec 13 14:16:32 2022 Epoch 51, lr: 0.0000859, val loss: 72.81098, acc: 75.41000
Tue Dec 13 14:16:50 2022 Epoch 45, lr: 0.0000890, val loss: 101.08926, acc: 64.79000
Tue Dec 13 14:16:51 2022 Epoch 52, lr: 0.0000854, val loss: 74.12148, acc: 74.89000
Tue Dec 13 14:17:10 2022 Epoch 53, lr: 0.0000848, val loss: 73.29210, acc: 75.56000
Tue Dec 13 14:17:12 2022 Epoch 46, lr: 0.0000885, val loss: 101.35037, acc: 64.96000
Tue Dec 13 14:17:29 2022 Epoch 54, lr: 0.0000842, val loss: 71.26425, acc: 75.97000
Tue Dec 13 14:17:32 2022 Epoch 47, lr: 0.0000880, val loss: 100.48012, acc: 64.98000
Tue Dec 13 14:17:48 2022 Epoch 55, lr: 0.0000837, val loss: 73.39350, acc: 75.23000
Tue Dec 13 14:17:54 2022 Epoch 48, lr: 0.0000875, val loss: 99.92762, acc: 65.54000
Tue Dec 13 14:18:07 2022 Epoch 56, lr: 0.0000831, val loss: 73.29640, acc: 75.35000
Tue Dec 13 14:18:16 2022 Epoch 49, lr: 0.0000870, val loss: 97.81751, acc: 66.26000
Tue Dec 13 14:18:26 2022 Epoch 57, lr: 0.0000825, val loss: 71.25727, acc: 75.87000
Tue Dec 13 14:18:39 2022 Epoch 50, lr: 0.0000864, val loss: 96.34416, acc: 66.60000
Tue Dec 13 14:18:45 2022 Epoch 58, lr: 0.0000819, val loss: 72.68332, acc: 75.85000
Tue Dec 13 14:19:00 2022 Epoch 51, lr: 0.0000859, val loss: 97.49879, acc: 66.43000
Tue Dec 13 14:19:04 2022 Epoch 59, lr: 0.0000813, val loss: 72.53859, acc: 76.02000
Tue Dec 13 14:19:23 2022 Epoch 60, lr: 0.0000806, val loss: 70.60701, acc: 76.44000
Tue Dec 13 14:19:24 2022 Epoch 52, lr: 0.0000854, val loss: 99.65414, acc: 65.85000
Tue Dec 13 14:19:42 2022 Epoch 61, lr: 0.0000800, val loss: 70.49274, acc: 76.54000
Tue Dec 13 14:19:46 2022 Epoch 53, lr: 0.0000848, val loss: 95.57084, acc: 67.24000
Tue Dec 13 14:20:01 2022 Epoch 62, lr: 0.0000794, val loss: 69.65304, acc: 76.78000
Tue Dec 13 14:20:09 2022 Epoch 54, lr: 0.0000842, val loss: 95.81848, acc: 66.79000
Tue Dec 13 14:20:20 2022 Epoch 63, lr: 0.0000788, val loss: 71.09682, acc: 76.82000
Tue Dec 13 14:20:31 2022 Epoch 55, lr: 0.0000837, val loss: 96.26585, acc: 67.01000
Tue Dec 13 14:20:38 2022 Epoch 64, lr: 0.0000781, val loss: 70.23999, acc: 76.70000
Tue Dec 13 14:20:52 2022 Epoch 56, lr: 0.0000831, val loss: 95.24465, acc: 67.08000
Tue Dec 13 14:20:57 2022 Epoch 65, lr: 0.0000775, val loss: 70.97729, acc: 76.63000
Tue Dec 13 14:21:14 2022 Epoch 57, lr: 0.0000825, val loss: 94.37089, acc: 68.03000
Tue Dec 13 14:21:16 2022 Epoch 66, lr: 0.0000768, val loss: 71.60877, acc: 76.28000
Tue Dec 13 14:21:34 2022 Epoch 67, lr: 0.0000761, val loss: 70.74551, acc: 76.59000
Tue Dec 13 14:21:35 2022 Epoch 58, lr: 0.0000819, val loss: 94.67038, acc: 67.74000
Tue Dec 13 14:21:53 2022 Epoch 68, lr: 0.0000755, val loss: 71.20612, acc: 76.94000
